batch_id,tile_id,print_id,saturated,latency_ms,timestamp
0	0	SI266220200309225433	0	14463	2025-06-30T15:35:14.045943720Z
2	2	SI266220200309225433	0	135	2025-06-30T15:36:21.620483167Z
4	4	SI266220200309225433	668	72	2025-06-30T15:37:21.655093461Z
6	6	SI266220200309225433	0	73	2025-06-30T15:38:21.677674173Z
8	8	SI266220200309225433	0	57	2025-06-30T15:39:21.699265701Z
10	10	SI266220200309225433	787	94	2025-06-30T15:40:21.723309173Z
batch_id,tile_id,print_id,saturated,latency_ms,timestamp
0	0	SI266220200309225433	0	6421	2025-06-30T15:44:42.088641783Z
batch_id,tile_id,print_id,saturated,latency_ms,timestamp
1	1	SI266220200309225433	0	6389	2025-06-30T15:44:42.129349671Z
2	2	SI266220200309225433	0	6678	2025-06-30T15:44:42.134744674Z
3	3	SI266220200309225433	5639	6687	2025-06-30T15:44:42.137790421Z
5	5	SI266220200309225433	0	6709	2025-06-30T15:44:42.143685068Z
4	4	SI266220200309225433	668	6715	2025-06-30T15:44:42.140307106Z
7	7	SI266220200309225433	4555	6723	2025-06-30T15:44:42.153510406Z
6	6	SI266220200309225433	0	6740	2025-06-30T15:44:42.150357982Z
9	9	SI266220200309225433	1712	6753	2025-06-30T15:44:42.159015852Z
8	8	SI266220200309225433	0	6779	2025-06-30T15:44:42.155960019Z
11	11	SI266220200309225433	0	6770	2025-06-30T15:44:42.166523587Z
13	13	SI266220200309225433	0	6784	2025-06-30T15:44:42.175900624Z
10	10	SI266220200309225433	787	6795	2025-06-30T15:44:42.163268760Z
15	15	SI266220200309225433	0	6799	2025-06-30T15:44:42.180659555Z
12	12	SI266220200309225433	5	6814	2025-06-30T15:44:42.168659190Z
17	1	SI266220200309225433	0	6817	2025-06-30T15:44:42.187011232Z
14	14	SI266220200309225433	0	6844	2025-06-30T15:44:42.178014941Z
19	3	SI266220200309225433	348	6846	2025-06-30T15:44:42.190644025Z
16	0	SI266220200309225433	0	6867	2025-06-30T15:44:42.185039972Z
21	5	SI266220200309225433	0	6861	2025-06-30T15:44:42.201190251Z
18	2	SI266220200309225433	0	6889	2025-06-30T15:44:42.188931939Z
23	7	SI266220200309225433	298	6890	2025-06-30T15:44:42.206725438Z
20	4	SI266220200309225433	0	6907	2025-06-30T15:44:42.198344288Z
25	9	SI266220200309225433	0	6910	2025-06-30T15:44:42.212207774Z
22	6	SI266220200309225433	0	6925	2025-06-30T15:44:42.203711781Z
27	11	SI266220200309225433	0	6928	2025-06-30T15:44:42.219266439Z
24	8	SI266220200309225433	0	6948	2025-06-30T15:44:42.208949411Z
29	13	SI266220200309225433	0	6958	2025-06-30T15:44:42.222619116Z
26	10	SI266220200309225433	0	6965	2025-06-30T15:44:42.216958549Z
28	12	SI266220200309225433	0	6987	2025-06-30T15:44:42.221072123Z
31	15	SI266220200309225433	0	6981	2025-06-30T15:44:42.227719586Z
