batch_id,tile_id,print_id,saturated,latency_ms,timestamp
0,0,SI266220200309225433,0,0,2025-07-08T10:42:41.591728811Z
1,1,SI266220200309225433,0,0,2025-07-08T10:42:41.748715151Z
2,2,SI266220200309225433,0,0,2025-07-08T10:42:41.749845365Z
4,4,SI266220200309225433,668,0,2025-07-08T10:42:41.752099300Z
3,3,SI266220200309225433,5639,0,2025-07-08T10:42:41.750811889Z
6,6,SI266220200309225433,0,0,2025-07-08T10:42:41.753943220Z
8,8,SI266220200309225433,0,0,2025-07-08T10:42:41.755370984Z
11,11,SI266220200309225433,0,0,2025-07-08T10:42:41.883507474Z
5,5,SI266220200309225433,0,0,2025-07-08T10:42:41.752961504Z
7,7,SI266220200309225433,4555,0,2025-07-08T10:42:41.754689026Z
9,9,SI266220200309225433,1712,0,2025-07-08T10:42:41.756113687Z
10,10,SI266220200309225433,787,0,2025-07-08T10:42:41.756972009Z
21,5,SI266220200309225433,0,0,2025-07-08T10:42:41.894512572Z
18,2,SI266220200309225433,0,0,2025-07-08T10:42:41.891821722Z
22,6,SI266220200309225433,0,0,2025-07-08T10:42:41.895605258Z
12,12,SI266220200309225433,5,0,2025-07-08T10:42:41.885494335Z
15,15,SI266220200309225433,0,0,2025-07-08T10:42:41.889039622Z
16,0,SI266220200309225433,0,0,2025-07-08T10:42:41.889924075Z
19,3,SI266220200309225433,348,0,2025-07-08T10:42:41.892670229Z
26,10,SI266220200309225433,0,0,2025-07-08T10:42:41.960379714Z
14,14,SI266220200309225433,0,0,2025-07-08T10:42:41.888134478Z
17,1,SI266220200309225433,0,0,2025-07-08T10:42:41.890803535Z
24,8,SI266220200309225433,0,0,2025-07-08T10:42:41.957954807Z
13,13,SI266220200309225433,0,0,2025-07-08T10:42:41.886928221Z
20,4,SI266220200309225433,0,0,2025-07-08T10:42:41.893607281Z
23,7,SI266220200309225433,298,0,2025-07-08T10:42:41.956994306Z
25,9,SI266220200309225433,0,0,2025-07-08T10:42:41.959080086Z
32,0,SI266220200309225433,0,0,2025-07-08T10:42:41.983631258Z
28,12,SI266220200309225433,0,0,2025-07-08T10:42:41.962466535Z
27,11,SI266220200309225433,0,0,2025-07-08T10:42:41.961565538Z
33,1,SI266220200309225433,0,0,2025-07-08T10:42:41.985756719Z
30,14,SI266220200309225433,0,0,2025-07-08T10:42:41.964945577Z
34,2,SI266220200309225433,0,0,2025-07-08T10:42:42.079316258Z
36,4,SI266220200309225433,0,0,2025-07-08T10:42:42.081863013Z
40,8,SI266220200309225433,0,0,2025-07-08T10:42:42.112199961Z
43,11,SI266220200309225433,0,0,2025-07-08T10:42:42.139223192Z
29,13,SI266220200309225433,0,0,2025-07-08T10:42:41.963245824Z
35,3,SI266220200309225433,1253,0,2025-07-08T10:42:42.080966717Z
31,15,SI266220200309225433,0,0,2025-07-08T10:42:41.970573315Z
38,6,SI266220200309225433,0,0,2025-07-08T10:42:42.083731401Z
37,5,SI266220200309225433,0,0,2025-07-08T10:42:42.082793702Z
44,12,SI266220200309225433,0,0,2025-07-08T10:42:42.139996293Z
39,7,SI266220200309225433,113,0,2025-07-08T10:42:42.110918507Z
50,2,SI266220200309225433,77,0,2025-07-08T10:42:42.183160801Z
42,10,SI266220200309225433,0,0,2025-07-08T10:42:42.137793586Z
46,14,SI266220200309225433,0,0,2025-07-08T10:42:42.142908203Z
41,9,SI266220200309225433,0,0,2025-07-08T10:42:42.136124024Z
49,1,SI266220200309225433,0,0,2025-07-08T10:42:42.181854399Z
51,3,SI266220200309225433,6667,0,2025-07-08T10:42:42.184876727Z
48,0,SI266220200309225433,0,0,2025-07-08T10:42:42.180823927Z
45,13,SI266220200309225433,0,0,2025-07-08T10:42:42.140738844Z
56,8,SI266220200309225433,0,0,2025-07-08T10:42:42.636636700Z
52,4,SI266220200309225433,0,0,2025-07-08T10:42:42.631420306Z
55,7,SI266220200309225433,2895,0,2025-07-08T10:42:42.635527525Z
47,15,SI266220200309225433,0,0,2025-07-08T10:42:42.179762561Z
54,6,SI266220200309225433,0,0,2025-07-08T10:42:42.634136036Z
53,5,SI266220200309225433,129,0,2025-07-08T10:42:42.632794009Z
57,9,SI266220200309225433,358,0,2025-07-08T10:42:42.637822741Z
58,10,SI266220200309225433,4,0,2025-07-08T10:42:43.416237949Z
59,11,SI266220200309225433,0,0,2025-07-08T10:42:43.417601830Z
60,12,SI266220200309225433,0,0,2025-07-08T10:42:43.418460812Z
64,0,SI266220200309225433,0,0,2025-07-08T10:42:43.421925812Z
67,3,SI266220200309225433,268,0,2025-07-08T10:42:43.423815616Z
62,14,SI266220200309225433,0,0,2025-07-08T10:42:43.420635885Z
65,1,SI266220200309225433,0,0,2025-07-08T10:42:43.422648991Z
61,13,SI266220200309225433,0,0,2025-07-08T10:42:43.419730531Z
63,15,SI266220200309225433,0,0,2025-07-08T10:42:43.421339737Z
66,2,SI266220200309225433,0,0,2025-07-08T10:42:43.423087245Z
68,4,SI266220200309225433,0,0,2025-07-08T10:42:43.424598223Z
72,8,SI266220200309225433,0,0,2025-07-08T10:42:43.703295491Z
71,7,SI266220200309225433,91,0,2025-07-08T10:42:43.702053255Z
74,10,SI266220200309225433,0,0,2025-07-08T10:42:43.705515568Z
69,5,SI266220200309225433,0,0,2025-07-08T10:42:43.426410190Z
70,6,SI266220200309225433,0,0,2025-07-08T10:42:43.427403654Z
73,9,SI266220200309225433,0,0,2025-07-08T10:42:43.704522638Z
76,12,SI266220200309225433,0,0,2025-07-08T10:42:43.707009666Z
78,14,SI266220200309225433,0,0,2025-07-08T10:42:43.708648897Z
75,11,SI266220200309225433,0,0,2025-07-08T10:42:43.706376440Z
82,2,SI266220200309225433,0,0,2025-07-08T10:42:43.711225350Z
80,0,SI266220200309225433,0,0,2025-07-08T10:42:43.709907987Z
77,13,SI266220200309225433,0,0,2025-07-08T10:42:43.707873901Z
79,15,SI266220200309225433,0,0,2025-07-08T10:42:43.709319334Z
84,4,SI266220200309225433,0,0,2025-07-08T10:42:43.916608340Z
83,3,SI266220200309225433,396,0,2025-07-08T10:42:43.915672149Z
86,6,SI266220200309225433,0,0,2025-07-08T10:42:43.919472501Z
81,1,SI266220200309225433,0,0,2025-07-08T10:42:43.710547629Z
90,10,SI266220200309225433,0,0,2025-07-08T10:42:44.152914875Z
88,8,SI266220200309225433,0,0,2025-07-08T10:42:43.988745911Z
85,5,SI266220200309225433,0,0,2025-07-08T10:42:43.918094381Z
92,12,SI266220200309225433,0,0,2025-07-08T10:42:44.154464660Z
94,14,SI266220200309225433,0,0,2025-07-08T10:42:44.155916227Z
87,7,SI266220200309225433,727,0,2025-07-08T10:42:43.986954566Z
91,11,SI266220200309225433,0,0,2025-07-08T10:42:44.153772360Z
98,2,SI266220200309225433,0,0,2025-07-08T10:42:44.473647339Z
89,9,SI266220200309225433,0,0,2025-07-08T10:42:44.151668064Z
99,3,SI266220200309225433,7571,0,2025-07-08T10:42:44.474649331Z
96,0,SI266220200309225433,0,0,2025-07-08T10:42:44.471919176Z
102,6,SI266220200309225433,0,0,2025-07-08T10:42:44.540943477Z
93,13,SI266220200309225433,0,0,2025-07-08T10:42:44.155203468Z
104,8,SI266220200309225433,0,0,2025-07-08T10:42:44.542567225Z
100,4,SI266220200309225433,0,0,2025-07-08T10:42:44.475356584Z
95,15,SI266220200309225433,0,0,2025-07-08T10:42:44.470639087Z
97,1,SI266220200309225433,0,0,2025-07-08T10:42:44.472748639Z
101,5,SI266220200309225433,0,0,2025-07-08T10:42:44.539092964Z
103,7,SI266220200309225433,3084,0,2025-07-08T10:42:44.541912869Z
105,9,SI266220200309225433,6,0,2025-07-08T10:42:44.543403308Z
106,10,SI266220200309225433,0,0,2025-07-08T10:42:44.547796723Z
107,11,SI266220200309225433,0,0,2025-07-08T10:42:45.046854130Z
108,12,SI266220200309225433,0,0,2025-07-08T10:42:45.047503200Z
115,3,SI266220200309225433,1583,0,2025-07-08T10:42:45.049982362Z
110,14,SI266220200309225433,0,0,2025-07-08T10:42:45.048380079Z
113,1,SI266220200309225433,0,0,2025-07-08T10:42:45.049321712Z
109,13,SI266220200309225433,0,0,2025-07-08T10:42:45.047959269Z
114,2,SI266220200309225433,0,0,2025-07-08T10:42:45.049673428Z
111,15,SI266220200309225433,0,0,2025-07-08T10:42:45.048723153Z
112,0,SI266220200309225433,0,0,2025-07-08T10:42:45.048989733Z
116,4,SI266220200309225433,0,0,2025-07-08T10:42:45.050315277Z
120,8,SI266220200309225433,0,0,2025-07-08T10:42:45.320604725Z
126,14,SI266220200309225433,0,0,2025-07-08T10:42:45.324771378Z
117,5,SI266220200309225433,0,0,2025-07-08T10:42:45.050750123Z
118,6,SI266220200309225433,0,0,2025-07-08T10:42:45.051199417Z
121,9,SI266220200309225433,0,0,2025-07-08T10:42:45.321590374Z
122,10,SI266220200309225433,0,0,2025-07-08T10:42:45.322410185Z
124,12,SI266220200309225433,0,0,2025-07-08T10:42:45.323669998Z
119,7,SI266220200309225433,0,0,2025-07-08T10:42:45.319652108Z
123,11,SI266220200309225433,0,0,2025-07-08T10:42:45.322986322Z
130,2,SI266220200309225433,0,0,2025-07-08T10:42:45.326594495Z
128,0,SI266220200309225433,0,0,2025-07-08T10:42:45.325784330Z
127,15,SI266220200309225433,0,0,2025-07-08T10:42:45.325347187Z
125,13,SI266220200309225433,0,0,2025-07-08T10:42:45.324196593Z
129,1,SI266220200309225433,0,0,2025-07-08T10:42:45.326210339Z
131,3,SI266220200309225433,2418,0,2025-07-08T10:42:45.525350661Z
132,4,SI266220200309225433,0,0,2025-07-08T10:42:45.526138533Z
136,8,SI266220200309225433,0,0,2025-07-08T10:42:45.767177795Z
134,6,SI266220200309225433,0,0,2025-07-08T10:42:45.528333563Z
133,5,SI266220200309225433,0,0,2025-07-08T10:42:45.527155809Z
138,10,SI266220200309225433,26,0,2025-07-08T10:42:45.769636070Z
140,12,SI266220200309225433,0,0,2025-07-08T10:42:45.773161796Z
139,11,SI266220200309225433,0,0,2025-07-08T10:42:45.772490982Z
137,9,SI266220200309225433,0,0,2025-07-08T10:42:45.768380218Z
144,0,SI266220200309225433,0,0,2025-07-08T10:42:46.090415027Z
141,13,SI266220200309225433,0,0,2025-07-08T10:42:45.773861022Z
142,14,SI266220200309225433,0,0,2025-07-08T10:42:46.089275309Z
152,8,SI266220200309225433,0,0,2025-07-08T10:42:46.149419630Z
135,7,SI266220200309225433,918,0,2025-07-08T10:42:45.599413696Z
146,2,SI266220200309225433,0,0,2025-07-08T10:42:46.091743738Z
147,3,SI266220200309225433,832,0,2025-07-08T10:42:46.092243988Z
148,4,SI266220200309225433,0,0,2025-07-08T10:42:46.092771884Z
143,15,SI266220200309225433,0,0,2025-07-08T10:42:46.089948117Z
149,5,SI266220200309225433,0,0,2025-07-08T10:42:46.146826836Z
145,1,SI266220200309225433,0,0,2025-07-08T10:42:46.091063767Z
150,6,SI266220200309225433,0,0,2025-07-08T10:42:46.147958984Z
153,9,SI266220200309225433,6,0,2025-07-08T10:42:46.150809877Z
154,10,SI266220200309225433,26,0,2025-07-08T10:42:46.469071653Z
156,12,SI266220200309225433,0,0,2025-07-08T10:42:46.470543011Z
158,14,SI266220200309225433,0,0,2025-07-08T10:42:46.471945158Z
